vendor,productName,EOL_Date,resource,Recommended_replacement
Palo Alto,"PA-7000 Series | (PAN-PA-7000-100G-NPC-A, | PAN-PA-7000-LFC-A, | PAN-PA-7000-DPC-A, | PAN-PA-7080-AC-SYS, | PAN-PA-7080-DC-SYS, | PAN-PA-7050-AC-SYS, | PAN-PA-7050-DC-SYS, | PAN-PA-7050-SMC-B, | PAN-PA-7080-SMC-B, | PAN-PA-7050-SMC-B-SYS-UPG, | PAN-PA-7080-SMC-B-SYS-UPG, | PAN-PA-7000-LFC-A-SYS-UPG)",2030-12-31,https://www.paloaltonetworks.com/resources/datasheets/pa-7000-series,PA-7500 | PA-5450
Palo Alto,PA-220R,2030-01-31,https://docs.paloaltonetworks.com/hardware/pa-220r-hardware-reference,PA-400R Series
Palo Alto,PAN-2.5IN-HDD-2TB-PAIR,2028-08-31,https://www.paloaltonetworks.com/resources/datasheets/pa-5200-series-specsheet,PAN-2.5IN-SSD-1.92TB-PAIR
Palo Alto,PAN-QSFP-40GBASE-LM4,2029-05-16,https://www.paloaltonetworks.com/resources/datasheets/key-specs-for-paloalto-interface-transceivers,PAN-QSFP40G- BASE-LR4 | PAN-QSFP40G- BASE-BIDI
Palo Alto,"PA-800 Series | (PA-820, PA-850) | (PA-820-ZTP, PA-850-ZTP)",2029-08-31,https://docs.paloaltonetworks.com/hardware/pa-800-hardware-reference,PA-1400 Series
Palo Alto,ION 9000,2029-08-01,https://docs.paloaltonetworks.com/hardware/ion-9000-hardware-reference,ION 9200
Palo Alto,ION 3000,2029-08-01,https://docs.paloaltonetworks.com/hardware/ion-3000-hardware-reference,ION 3200
Palo Alto,M-200 and M-600,2029-02-15,https://docs.paloaltonetworks.com/hardware/m-200-m-600-appliances-hardware-reference/m-200_m-600-overview | https://www.paloaltonetworks.com/resources/datasheets/panorama-centralized-management-datasheet,M-300 and M-700
Palo Alto,ION 1000,2029-02-01,https://docs.paloaltonetworks.com/hardware/ion-1000-hardware-reference,ION 1200
Palo Alto,ION 2000,2029-02-01,https://docs.paloaltonetworks.com/hardware/ion-2000-hardware-reference,ION 1200-S
Palo Alto,WF-500,2028-12-31,https://www.paloaltonetworks.com/content/pan/en_US/products/secure-the-network/subscriptions/wf-500-wildfire-appliance,WF-500-B
Palo Alto,"PA-3200 Series | (PA-3220, PA-3250, PA-3260) | (PA-3220-ZTP, PA-3250-ZTP, PA-3260-ZTP)",2028-08-31,https://www.paloaltonetworks.com/resources/datasheets/pa-3200-series,PA-3400 Series
Palo Alto,"PA-5200 Series | (PA-5220, PA-5250, PA-5260, PA-5280)",2028-08-31,https://www.paloaltonetworks.com/resources/datasheets/pa-5200-series-specsheet,PA-5400 Series
Palo Alto,PA-220,2028-01-31,https://www.paloaltonetworks.com/resources/datasheets/pa-220-specsheet,PA-400 Series
Palo Alto,ION 7000,2027-02-01,https://docs.paloaltonetworks.com/hardware/ion-7000-hardware-reference.html,
Palo Alto,PA-7000-20GXM-NPC | PA-7000-20GQXM-NPC,2026-05-08,https://www.paloaltonetworks.com/content/pan/en_US/network-security/next-generation-firewall/pa-7000-series | https://www.paloaltonetworks.com/resources/datasheets/pa-7000-series,PA-7000-100G-NPC-A | PA-7000-DPC-A
Palo Alto,PA-7050-SMC | PA-7080-SMC | PA-7000-LPC,2026-02-28,https://www.paloaltonetworks.com/content/pan/en_US/network-security/next-generation-firewall/pa-7000-series | https://www.paloaltonetworks.com/resources/datasheets/pa-7000-series,PA-7050-SMC-B | PA-7080-SMC-B | PA-7000-LFC
Palo Alto,"K2-Series | (PA-5280-K2, PA-7050-K2, PA-7080-K2)",2026-02-28,https://www.paloaltonetworks.com/content/pan/en_US/resources/datasheets/k2-series,PA-5445 | PA-7500
